Satellite System,satellite visibility,complete almanac ,Satellite ID,Satellite health,Elevation(degrees),Azimuth (degrees),doppler freq,Theoretical Doppler,Apparent Doppler
GPS,TRUE,TRUE,2,0,77.9,77.1,-775.750,-776.547
GPS,TRUE,TRUE,11,255,73.7,81.1,-736.679,-737.476
GPS,TRUE,TRUE,12,0,60.9,182.3,-1986.291,-1987.088
GPS,TRUE,TRUE,25,0,59.6,278.4,668.263,667.466
GPS,TRUE,TRUE,20,0,43.5,142.9,2357.517,2356.720
GPS,TRUE,TRUE,29,0,32.0,282.2,2863.848,2863.051
GPS,TRUE,TRUE,6,0,29.4,55.8,-3105.275,-3106.072
GPS,TRUE,TRUE,5,0,22.2,164.9,3711.780,3710.983
GPS,TRUE,TRUE,31,0,16.7,317.0,676.376,675.579
GPS,TRUE,TRUE,19,0,5.2,94.2,-3486.825,-3487.622
GPS,TRUE,TRUE,9,0,4.1,55.4,1766.617,1765.820
GPS,TRUE,TRUE,4,0,4.0,23.5,456.913,456.116
GPS,TRUE,TRUE,24,0,-2.8,206.2,-3251.816,-3252.613
GPS,TRUE,TRUE,18,0,-8.4,231.6,3563.187,3562.390
GPS,TRUE,TRUE,17,0,-10.5,97.8,-2994.397,-2995.194
GPS,TRUE,TRUE,22,0,-11.9,299.8,-2461.294,-2462.091
GPS,TRUE,TRUE,26,0,-13.7,326.4,3650.049,3649.252
GPS,TRUE,TRUE,3,0,-16.9,9.5,-3607.786,-3608.582
GPS,TRUE,TRUE,32,0,-20.5,284.3,-2677.426,-2678.223
GPS,TRUE,TRUE,13,0,-25.3,154.1,1560.133,1559.336
GPS,TRUE,TRUE,15,0,-25.6,182.9,1248.712,1247.915
GPS,TRUE,TRUE,14,0,-39.4,134.2,-2743.836,-2744.632
GPS,TRUE,TRUE,23,0,-39.4,216.3,2082.025,2081.228
GPS,TRUE,TRUE,16,0,-41.0,330.6,3183.713,3182.916
GPS,TRUE,TRUE,7,0,-44.4,73.3,1572.339,1571.542
GPS,TRUE,TRUE,30,0,-46.1,101.7,690.931,690.135
GPS,TRUE,TRUE,1,0,-53.9,47.7,-2244.923,-2245.720
GPS,TRUE,TRUE,10,0,-55.1,243.6,559.140,558.343
GPS,TRUE,TRUE,27,0,-64.2,274.4,1637.800,1637.003
GPS,TRUE,TRUE,21,0,-72.1,47.7,-641.468,-642.265
GPS,TRUE,TRUE,8,0,-86.7,224.4,235.865,235.068
